Stock,Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
NESTLEIND,2015-12-15,2016-07-15,7.1,583.86,663.29,13605.14,24.43,Completed
NESTLEIND,2017-01-19,2017-06-09,4.7,591.15,666.75,12789.58,36.55,Completed
NESTLEIND,2022-03-25,2022-10-25,7.13,1716.12,2028.24,18187.54,32.98,Completed
NESTLEIND,2024-11-06,Still Holding,2.13,2275.6,2256.05,-859.12,,Holding
HINDUNILVR,2015-11-04,2016-06-17,7.53,801.0,881.35,10031.21,16.69,Completed
HINDUNILVR,2016-12-23,2017-05-12,4.67,789.5,980.2,24154.53,75.78,Completed
HINDUNILVR,2022-02-08,2022-08-16,6.3,2264.35,2644.5,16788.48,34.95,Completed
HINDUNILVR,2023-11-13,2024-08-23,9.47,2478.15,2815.6,13617.02,17.83,Completed
M&M,2016-02-09,2016-06-08,4.0,591.6,693.15,17165.32,61.91,Completed
M&M,2016-12-27,2017-06-09,5.47,583.62,713.35,22227.45,56.32,Completed
M&M,2019-01-02,2020-12-02,23.33,741.7,753.6,1604.42,0.83,Completed
M&M,2021-09-15,2022-01-28,4.5,755.1,869.65,15170.18,46.5,Completed
KOTAKBANK,2016-03-01,2016-05-13,2.43,638.45,708.25,10932.73,68.0,Completed
KOTAKBANK,2020-05-07,2020-11-12,6.3,1199.8,1754.75,46253.54,108.38,Completed
KOTAKBANK,2021-07-23,2021-10-28,3.23,1722.95,2098.5,21796.92,110.01,Completed
KOTAKBANK,2022-04-07,2022-11-11,7.27,1766.45,1899.1,7509.41,12.89,Completed
KOTAKBANK,2023-03-17,2024-10-01,18.8,1693.1,1879.4,11003.49,6.99,Completed
ASIANPAINT,2018-02-20,2018-05-25,3.13,1126.4,1292.35,14732.77,70.52,Completed
ASIANPAINT,2020-06-15,2020-09-30,3.57,1618.2,1986.4,22753.68,101.24,Completed
ASIANPAINT,2022-05-26,2023-07-20,14.0,2840.15,3526.0,24148.38,20.68,Completed
ASIANPAINT,2024-02-29,2024-09-30,7.13,2821.9,3329.1,17973.71,32.57,Completed
ASIANPAINT,2024-12-30,Still Holding,0.33,2288.25,2350.2,2707.31,,Holding
BHARTIARTL,2015-11-19,2016-07-05,7.63,306.02,329.77,7760.26,12.65,Completed
BHARTIARTL,2016-11-11,2017-05-15,6.17,271.64,328.19,20819.51,45.23,Completed
BHARTIARTL,2018-05-11,2019-06-07,13.07,348.43,350.52,600.69,0.56,Completed
BHARTIARTL,2022-07-11,2022-10-18,3.3,660.55,783.15,18560.3,87.33,Completed
ITC,2017-11-16,2018-05-18,6.1,255.1,282.3,10662.48,22.39,Completed
ITC,2019-02-12,2022-05-19,39.73,275.3,275.65,127.14,0.04,Completed
ITC,2024-02-29,2024-08-09,5.4,406.3,495.9,22052.67,56.67,Completed
HCLTECH,2015-11-10,2017-01-23,14.67,425.65,428.65,704.8,0.58,Completed
HCLTECH,2022-05-13,2023-01-27,8.63,1052.15,1115.6,6030.5,8.6,Completed
TITAN,2018-10-01,2019-02-12,4.47,809.75,1066.25,31676.44,111.6,Completed
TITAN,2020-03-27,2020-10-15,6.73,937.05,1213.6,29512.83,59.57,Completed
TITAN,2022-06-24,2022-11-02,4.37,2045.6,2728.45,33381.4,123.12,Completed
TITAN,2024-08-06,Still Holding,5.2,3335.1,3487.05,4556.08,,Holding
INDUSINDBK,2019-01-17,2023-12-14,59.73,1523.0,1551.7,1884.44,0.38,Completed
INDUSINDBK,2024-07-19,Still Holding,5.8,1432.45,980.9,-31522.91,,Holding
ICICIBANK,2015-11-19,2016-09-08,9.8,242.18,251.23,3734.98,4.66,Completed
ICICIBANK,2018-06-26,2018-11-05,4.4,288.1,349.65,21364.1,70.81,Completed
ICICIBANK,2020-05-18,2020-11-20,6.2,298.5,480.2,60871.03,154.21,Completed
ICICIBANK,2022-06-10,2022-08-24,2.5,720.0,873.3,21291.66,155.85,Completed
BAJAJFINSV,2020-05-05,2020-11-25,6.8,462.92,871.78,88320.88,210.35,Completed
BAJAJFINSV,2022-05-02,2023-09-28,17.13,1495.74,1539.7,2938.67,2.08,Completed
BAJAJFINSV,2024-08-19,2024-09-20,1.07,1551.1,1916.8,23576.82,1018.55,Completed
POWERGRID,2015-12-04,2016-04-13,4.37,73.55,81.56,10898.67,33.41,Completed
POWERGRID,2018-01-10,2019-06-27,17.77,112.42,116.83,3927.95,2.67,Completed
POWERGRID,2020-02-19,2020-12-09,9.8,105.47,108.39,2773.34,3.45,Completed
POWERGRID,2022-12-22,2023-03-21,2.97,161.25,167.36,3790.7,16.48,Completed
SUNPHARMA,2015-11-13,2021-07-30,69.53,740.6,773.95,4503.11,0.77,Completed
MARUTI,2016-04-05,2016-08-22,4.63,3554.85,4837.75,36088.72,124.6,Completed
MARUTI,2018-10-03,2020-01-10,15.47,7246.0,7330.5,1166.16,0.92,Completed
MARUTI,2020-05-04,2020-10-06,5.17,4886.3,6892.4,41055.61,124.8,Completed
MARUTI,2021-09-21,2021-11-08,1.6,6777.0,7684.6,13392.36,160.05,Completed
MARUTI,2023-03-24,2023-06-14,2.73,8242.9,9532.5,15644.97,90.98,Completed
MARUTI,2024-11-29,Still Holding,1.37,11074.2,11740.55,6017.14,,Holding
RELIANCE,2023-02-10,2023-08-10,6.03,1078.36,1268.22,17606.43,38.69,Completed
RELIANCE,2024-11-18,Still Holding,1.73,1260.75,1254.75,-475.91,,Holding
INFY,2016-09-23,2018-01-16,16.0,521.28,561.42,7702.26,5.8,Completed
INFY,2020-04-01,2020-08-12,4.43,602.8,954.95,58419.05,253.46,Completed
INFY,2022-05-26,2023-02-09,8.63,1423.95,1617.0,13557.36,19.62,Completed
