Stock,Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
ABB,2020-11-02,2020-12-03,1.03,875.65,1172.0,33843.43,2994.41,Completed
ABB,2025-01-09,Still Holding,0.03,6482.45,6415.65,-1030.48,,Holding
ADANIENSOL,2024-10-23,Still Holding,2.63,981.6,729.25,-25708.03,,Holding
ADANIENT,2023-03-31,2024-01-01,9.2,1750.45,2917.2,66654.29,96.49,Completed
ADANIENT,2024-10-28,Still Holding,2.47,2798.65,2374.4,-15159.1,,Holding
ADANIGREEN,2022-12-28,2024-02-15,13.8,1897.85,1900.75,152.81,0.13,Completed
ADANIGREEN,2024-11-11,Still Holding,2.0,1557.4,943.05,-39447.16,,Holding
ADANIPORTS,2024-12-23,Still Holding,0.6,1191.8,1112.2,-6678.98,,Holding
ADANIPOWER,2023-02-09,2023-08-29,6.7,172.8,332.7,92534.73,228.58,Completed
ADANIPOWER,2024-12-11,Still Holding,1.0,519.25,482.3,-7116.04,,Holding
ATGL,2023-03-06,2024-02-07,11.27,820.35,1040.05,26781.26,29.21,Completed
ATGL,2024-08-26,Still Holding,4.57,856.1,681.25,-20424.01,,Holding
AMBUJACEM,2022-03-03,2022-08-22,5.73,290.2,408.0,40592.69,106.06,Completed
AMBUJACEM,2024-11-27,Still Holding,1.47,515.0,511.25,-728.16,,Holding
APOLLOHOSP,2022-05-11,2022-11-24,6.57,3679.65,4815.05,30856.19,64.59,Completed
ASIANPAINT,2022-05-26,2023-07-20,14.0,2840.15,3526.0,24148.38,20.68,Completed
ASIANPAINT,2024-02-29,2024-09-30,7.13,2821.9,3329.1,17973.71,32.57,Completed
ASIANPAINT,2024-12-30,Still Holding,0.37,2288.25,2320.75,1420.3,,Holding
DMART,2022-05-09,2023-09-14,16.43,3520.3,3808.05,8174.02,5.99,Completed
DMART,2024-12-13,Still Holding,0.93,3652.3,3686.25,929.55,,Holding
AXISBANK,2022-05-13,2022-11-01,5.73,635.95,871.75,37078.38,95.28,Completed
AXISBANK,2025-01-08,Still Holding,0.07,1074.95,1040.7,-3186.19,,Holding
BAJAJ-AUTO,2021-11-12,2022-06-06,6.87,3635.05,3817.0,5005.43,9.04,Completed
BAJAJ-AUTO,2022-12-28,2023-04-28,4.03,3586.85,4431.95,23561.07,89.31,Completed
BAJFINANCE,2022-05-10,2023-07-25,14.7,5928.45,7606.45,28304.19,22.91,Completed
BAJFINANCE,2024-03-04,2024-10-01,7.03,6602.45,7703.0,16668.81,30.56,Completed
BAJAJFINSV,2020-10-30,2020-11-25,0.87,557.35,871.78,56414.29,53275.54,Completed
