Stock,Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
NESTLEIND,2014-04-11,2014-09-08,5.0,482.96,639.98,32511.67,98.37,Completed
NESTLEIND,2015-09-03,2016-07-15,10.53,603.54,663.29,9899.84,11.52,Completed
NESTLEIND,2017-01-19,2017-06-09,4.7,591.15,666.75,12789.58,36.55,Completed
NESTLEIND,2022-03-25,2022-10-25,7.13,1716.12,2028.24,18187.54,32.98,Completed
NESTLEIND,2024-11-06,Still Holding,2.13,2275.6,2256.05,-859.12,,Holding
HINDUNILVR,2014-03-03,2014-07-07,4.2,543.2,627.6,15537.55,51.95,Completed
HINDUNILVR,2015-09-23,2016-06-17,8.93,785.0,881.35,12273.88,17.08,Completed
HINDUNILVR,2016-12-23,2017-05-12,4.67,789.5,980.2,24154.53,75.78,Completed
HINDUNILVR,2022-02-08,2022-08-16,6.3,2264.35,2644.5,16788.48,34.95,Completed
HINDUNILVR,2023-11-13,2024-08-23,9.47,2478.15,2815.6,13617.02,17.83,Completed
M&M,2012-03-22,2012-08-29,5.33,343.0,385.9,12507.29,30.84,Completed
M&M,2015-03-09,2015-08-07,5.03,603.4,695.15,15205.5,40.8,Completed
M&M,2016-02-09,2016-06-08,4.0,591.6,693.15,17165.32,61.91,Completed
M&M,2016-12-27,2017-06-09,5.47,583.62,713.35,22227.45,56.32,Completed
M&M,2019-01-02,2020-12-02,23.33,741.7,753.6,1604.42,0.83,Completed
M&M,2021-09-15,2022-01-28,4.5,755.1,869.65,15170.18,46.5,Completed
KOTAKBANK,2016-03-01,2016-05-13,2.43,638.45,708.25,10932.73,68.0,Completed
KOTAKBANK,2020-05-07,2020-11-12,6.3,1199.8,1754.75,46253.54,108.38,Completed
KOTAKBANK,2021-07-23,2021-10-28,3.23,1722.95,2098.5,21796.92,110.01,Completed
KOTAKBANK,2022-04-07,2022-11-11,7.27,1766.45,1899.1,7509.41,12.89,Completed
KOTAKBANK,2023-03-17,2024-10-01,18.8,1693.1,1879.4,11003.49,6.99,Completed
ASIANPAINT,2018-02-20,2018-05-25,3.13,1126.4,1292.35,14732.77,70.52,Completed
ASIANPAINT,2020-06-15,2020-09-30,3.57,1618.2,1986.4,22753.68,101.24,Completed
ASIANPAINT,2022-05-26,2023-07-20,14.0,2840.15,3526.0,24148.38,20.68,Completed
ASIANPAINT,2024-02-29,2024-09-30,7.13,2821.9,3329.1,17973.71,32.57,Completed
ASIANPAINT,2024-12-30,Still Holding,0.33,2288.25,2350.2,2707.31,,Holding
BHARTIARTL,2012-01-06,2013-10-18,21.7,297.91,321.52,7926.19,4.37,Completed
BHARTIARTL,2015-11-19,2016-07-05,7.63,306.02,329.77,7760.26,12.65,Completed
BHARTIARTL,2016-11-11,2017-05-15,6.17,271.64,328.19,20819.51,45.23,Completed
BHARTIARTL,2018-05-11,2019-06-07,13.07,348.43,350.52,600.69,0.56,Completed
BHARTIARTL,2022-07-11,2022-10-18,3.3,660.55,783.15,18560.3,87.33,Completed
ITC,2014-01-02,2014-05-12,4.33,209.97,239.43,14033.98,44.59,Completed
ITC,2015-05-07,2016-06-28,13.93,215.03,245.67,14245.85,12.33,Completed
ITC,2017-11-16,2018-05-18,6.1,255.1,282.3,10662.48,22.39,Completed
ITC,2019-02-12,2022-05-19,39.73,275.3,275.65,127.14,0.04,Completed
ITC,2024-02-29,2024-08-09,5.4,406.3,495.9,22052.67,56.67,Completed
HCLTECH,2011-09-22,2012-04-04,6.5,95.69,127.26,32998.04,70.53,Completed
HCLTECH,2015-10-21,2017-03-17,17.1,431.52,432.88,312.85,0.22,Completed
HCLTECH,2022-05-13,2023-01-27,8.63,1052.15,1115.6,6030.5,8.6,Completed
TITAN,2011-12-28,2012-05-08,4.4,173.75,245.1,41064.75,158.92,Completed
TITAN,2013-09-02,2014-05-09,8.3,230.6,277.5,20338.24,31.18,Completed
TITAN,2015-07-06,2016-02-15,7.47,355.85,358.7,800.9,1.31,Completed
TITAN,2018-10-01,2019-02-12,4.47,809.75,1066.25,31676.44,111.6,Completed
TITAN,2020-03-27,2020-10-15,6.73,937.05,1213.6,29512.83,59.57,Completed
TITAN,2022-06-24,2022-11-02,4.37,2045.6,2728.45,33381.4,123.12,Completed
TITAN,2024-08-06,Still Holding,5.2,3335.1,3487.05,4556.08,,Holding
INDUSINDBK,2012-01-06,2012-02-07,1.07,240.9,302.95,25757.58,1265.56,Completed
INDUSINDBK,2014-02-13,2014-03-31,1.53,373.95,501.85,34202.43,932.17,Completed
INDUSINDBK,2019-01-17,2023-12-14,59.73,1523.0,1551.7,1884.44,0.38,Completed
INDUSINDBK,2024-07-19,Still Holding,5.8,1432.45,980.9,-31522.91,,Holding
ICICIBANK,2011-08-02,2012-09-17,13.73,185.76,192.85,3812.27,3.37,Completed
ICICIBANK,2013-07-25,2014-03-28,8.2,169.97,228.95,34695.4,55.57,Completed
ICICIBANK,2015-06-12,2017-05-04,23.07,269.05,270.73,625.11,0.33,Completed
ICICIBANK,2018-06-26,2018-11-05,4.4,288.1,349.65,21364.1,70.81,Completed
ICICIBANK,2020-05-18,2020-11-20,6.2,298.5,480.2,60871.03,154.21,Completed
ICICIBANK,2022-06-10,2022-08-24,2.5,720.0,873.3,21291.66,155.85,Completed
BAJAJFINSV,2011-12-14,2012-04-23,4.37,39.56,68.99,74407.07,371.04,Completed
BAJAJFINSV,2013-05-15,2014-04-07,10.9,75.47,77.05,2086.79,2.33,Completed
BAJAJFINSV,2020-05-05,2020-11-25,6.8,462.92,871.78,88320.88,210.35,Completed
BAJAJFINSV,2022-05-02,2023-09-28,17.13,1495.74,1539.7,2938.67,2.08,Completed
BAJAJFINSV,2024-08-19,2024-09-20,1.07,1551.1,1916.8,23576.82,1018.55,Completed
POWERGRID,2010-12-07,2011-06-30,6.83,55.66,61.59,10661.95,19.77,Completed
POWERGRID,2011-12-12,2012-03-02,2.7,54.34,63.14,16200.83,96.72,Completed
POWERGRID,2013-03-18,2014-05-12,14.0,61.17,62.72,2528.74,2.19,Completed
POWERGRID,2015-08-07,2016-04-13,8.33,78.53,81.56,3868.2,5.7,Completed
POWERGRID,2018-01-10,2019-06-27,17.77,112.42,116.83,3927.95,2.67,Completed
POWERGRID,2020-02-19,2020-12-09,9.8,105.47,108.39,2773.34,3.45,Completed
POWERGRID,2022-12-22,2023-03-21,2.97,161.25,167.36,3790.7,16.48,Completed
SUNPHARMA,2015-11-13,2021-07-30,69.53,740.6,773.95,4503.11,0.77,Completed
MARUTI,2011-03-15,2012-04-13,13.17,1214.15,1322.75,8944.53,8.24,Completed
MARUTI,2016-04-05,2016-08-22,4.63,3554.85,4837.75,36088.72,124.6,Completed
MARUTI,2018-10-03,2020-01-10,15.47,7246.0,7330.5,1166.16,0.92,Completed
MARUTI,2020-05-04,2020-10-06,5.17,4886.3,6892.4,41055.61,124.8,Completed
MARUTI,2021-09-21,2021-11-08,1.6,6777.0,7684.6,13392.36,160.05,Completed
MARUTI,2023-03-24,2023-06-14,2.73,8242.9,9532.5,15644.97,90.98,Completed
MARUTI,2024-11-29,Still Holding,1.37,11074.2,11740.55,6017.14,,Holding
RELIANCE,2011-06-13,2014-04-17,34.63,211.58,219.23,3619.28,1.26,Completed
RELIANCE,2014-12-17,2015-12-11,11.97,198.75,217.83,9597.47,9.77,Completed
RELIANCE,2023-02-10,2023-08-10,6.03,1078.36,1268.22,17606.43,38.69,Completed
RELIANCE,2024-11-18,Still Holding,1.73,1260.75,1254.75,-475.91,,Holding
INFY,2011-06-02,2012-02-17,8.67,350.38,368.48,5164.02,7.32,Completed
INFY,2012-07-18,2013-01-29,6.5,272.36,349.88,28459.32,59.8,Completed
INFY,2016-09-23,2018-01-16,16.0,521.28,561.42,7702.26,5.8,Completed
INFY,2020-04-01,2020-08-12,4.43,602.8,954.95,58419.05,253.46,Completed
INFY,2022-05-26,2023-02-09,8.63,1423.95,1617.0,13557.36,19.62,Completed
INFY,2023-04-21,2023-12-06,7.63,1227.35,1474.3,20120.59,33.94,Completed
BAJFINANCE,2011-06-24,2012-02-02,7.43,56.37,75.18,33367.8,60.21,Completed
BAJFINANCE,2020-05-06,2020-11-10,6.27,2106.25,4208.55,99812.45,283.4,Completed
BAJFINANCE,2022-05-10,2023-07-25,14.7,5928.45,7606.45,28304.19,22.91,Completed
BAJFINANCE,2024-03-04,2024-10-01,7.03,6602.45,7703.0,16668.81,30.56,Completed
ULTRACEMCO,2011-07-04,2011-09-26,2.8,949.85,1137.6,19766.28,118.97,Completed
ULTRACEMCO,2013-08-07,2014-03-31,7.87,1642.6,2186.95,33139.53,55.69,Completed
ULTRACEMCO,2015-12-18,2016-05-12,4.87,2815.1,3227.6,14653.12,40.76,Completed
ULTRACEMCO,2018-05-23,2019-05-24,12.2,3700.8,4800.1,29704.39,29.61,Completed
ULTRACEMCO,2019-12-10,2020-10-12,10.23,4038.65,4306.3,6627.21,7.93,Completed
ULTRACEMCO,2022-03-15,2022-11-18,8.27,6021.25,6814.45,13173.35,19.98,Completed
TECHM,2011-02-04,2011-07-26,5.73,158.68,194.11,22333.39,53.38,Completed
TECHM,2011-10-04,2012-06-20,8.67,136.75,171.43,25356.49,37.34,Completed
TECHM,2015-06-29,2017-11-28,29.43,483.35,499.7,3382.64,1.38,Completed
TECHM,2020-05-04,2020-10-13,5.4,502.45,868.2,72793.31,242.9,Completed
TECHM,2022-05-19,2023-03-13,9.93,1108.35,1133.8,2296.21,2.82,Completed
AXISBANK,2011-06-16,2012-11-27,17.67,243.57,258.01,5928.48,4.05,Completed
AXISBANK,2013-08-01,2014-03-07,7.27,217.16,281.36,29563.45,54.29,Completed
AXISBANK,2015-10-07,2016-07-01,8.93,496.8,542.9,9279.4,12.85,Completed
AXISBANK,2017-01-20,2017-06-29,5.33,450.75,512.1,13610.64,33.79,Completed
AXISBANK,2018-06-27,2018-08-30,2.13,507.85,649.75,27941.32,307.66,Completed
AXISBANK,2020-03-17,2020-11-25,8.43,488.35,599.85,22831.98,34.54,Completed
AXISBANK,2022-05-13,2022-11-01,5.73,635.95,871.75,37078.38,95.28,Completed
AXISBANK,2025-01-08,Still Holding,0.03,1074.95,1061.75,-1227.96,,Holding
SBIN,2011-06-02,2012-12-31,19.27,233.42,238.55,2197.76,1.38,Completed
SBIN,2013-06-18,2014-04-23,10.3,204.36,206.52,1056.96,1.25,Completed
SBIN,2015-07-20,2016-09-08,13.87,267.45,268.35,336.51,0.3,Completed
SBIN,2018-04-20,2019-01-04,8.63,241.2,297.65,23403.81,34.5,Completed
SBIN,2020-03-11,2020-12-03,8.9,245.1,256.3,4569.56,6.3,Completed
NTPC,2010-12-03,2017-11-27,85.03,154.29,155.29,648.12,0.09,Completed
NTPC,2018-06-25,2019-07-01,12.37,128.88,142.55,10611.06,10.43,Completed
NTPC,2019-11-07,2021-06-16,19.57,119.55,119.8,209.12,0.13,Completed
HDFCBANK,2011-12-20,2012-03-27,3.27,207.1,259.42,25265.56,131.41,Completed
HDFCBANK,2013-08-29,2014-03-14,6.57,286.02,366.08,27987.07,57.96,Completed
HDFCBANK,2020-04-08,2020-10-15,6.33,888.9,1169.25,31538.98,69.32,Completed
HDFCBANK,2022-03-09,2022-11-10,8.2,1371.15,1524.75,11202.27,17.06,Completed
HDFCBANK,2023-09-26,2024-08-01,10.33,1537.65,1638.8,6578.22,7.79,Completed
TCS,2011-09-12,2012-02-16,5.23,492.85,612.67,24312.67,65.86,Completed
TCS,2015-11-04,2016-08-08,9.27,1266.9,1324.75,4566.26,6.04,Completed
TCS,2016-11-22,2017-05-26,6.17,1067.5,1289.12,20761.12,45.09,Completed
TCS,2020-03-16,2020-09-02,5.67,1696.4,2265.15,33526.87,86.04,Completed
TCS,2022-06-01,2023-02-13,8.57,3355.2,3482.4,3791.13,5.43,Completed
ADANIPORTS,2011-02-28,2011-11-01,8.2,138.0,160.1,16014.5,24.66,Completed
ADANIPORTS,2011-12-16,2012-12-24,12.47,126.65,135.35,6869.33,6.7,Completed
ADANIPORTS,2015-11-03,2016-10-25,11.9,291.2,312.8,7417.57,7.59,Completed
ADANIPORTS,2018-06-07,2019-05-20,11.57,380.05,400.1,5275.63,5.56,Completed
ADANIPORTS,2019-12-30,2020-11-05,10.37,365.95,368.65,737.8,0.87,Completed
ADANIPORTS,2024-12-23,Still Holding,0.57,1191.8,1132.35,-4988.26,,Holding
TATAMOTORS,2011-06-15,2012-02-16,8.2,196.72,272.97,38761.76,62.59,Completed
TATAMOTORS,2015-07-03,2016-06-07,11.33,433.15,463.05,6902.92,7.43,Completed
TATAMOTORS,2017-04-12,2021-10-18,55.0,464.55,509.6,9697.56,2.07,Completed
TATAMOTORS,2022-06-21,2023-05-15,10.93,397.6,530.85,33513.57,37.94,Completed
TATAMOTORS,2024-11-27,Still Holding,1.43,783.95,780.1,-491.11,,Holding
LT,2011-03-10,2012-09-21,18.7,690.76,704.56,1997.81,1.3,Completed
LT,2013-06-12,2014-02-28,8.7,620.71,739.77,19180.51,27.81,Completed
LT,2015-10-30,2016-07-15,8.63,940.5,1057.23,12411.83,17.93,Completed
LT,2018-10-08,2018-12-19,2.4,1215.35,1434.75,18052.42,131.94,Completed
LT,2019-12-26,2020-12-18,11.93,1279.3,1281.55,175.88,0.18,Completed
LT,2022-06-07,2022-11-01,4.9,1589.45,2024.45,27367.96,82.33,Completed
ZOMATO,2022-05-16,2023-07-11,14.03,56.4,76.8,36170.21,30.69,Completed
TATASTEEL,2011-06-02,2014-06-09,36.77,54.77,54.81,60.88,0.02,Completed
TATASTEEL,2015-01-07,2016-08-17,19.6,37.05,37.33,758.56,0.47,Completed
TATASTEEL,2018-05-24,2020-11-24,30.5,54.82,54.83,18.25,0.01,Completed
TATASTEEL,2022-06-09,2023-01-19,7.47,104.49,123.55,18246.64,31.4,Completed
TATASTEEL,2024-11-13,Still Holding,1.9,139.17,129.93,-6639.37,,Holding
