Stock,Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
ABB,2015-12-10,2016-07-18,7.37,1023.11,1154.61,12853.29,22.1,Completed
ABB,2016-11-11,2017-04-21,5.37,972.23,1271.55,30787.19,83.76,Completed
ABB,2018-06-15,2018-12-07,5.83,1102.78,1267.28,14917.25,33.64,Completed
ABB,2020-02-25,2020-12-17,9.87,1200.2,1232.7,2707.88,3.35,Completed
ABB,2025-01-09,Still Holding,0.03,6482.45,6415.65,-1030.48,,Holding
ADANIENSOL,2024-10-23,Still Holding,2.63,981.6,729.25,-25708.03,,Holding
ADANIENT,2015-11-26,2017-03-01,15.37,45.01,53.4,18644.06,14.49,Completed
ADANIENT,2019-05-08,2019-10-25,5.67,120.9,181.3,49958.64,138.68,Completed
ADANIENT,2023-03-31,2024-01-01,9.2,1750.45,2917.2,66654.29,96.49,Completed
ADANIENT,2024-10-28,Still Holding,2.47,2798.65,2374.4,-15159.1,,Holding
ADANIGREEN,2022-12-28,2024-02-15,13.8,1897.85,1900.75,152.81,0.13,Completed
ADANIGREEN,2024-11-11,Still Holding,2.0,1557.4,943.05,-39447.16,,Holding
ADANIPORTS,2015-11-05,2016-10-20,11.67,284.1,285.25,404.78,0.42,Completed
ADANIPORTS,2018-06-07,2019-05-20,11.57,380.05,400.1,5275.63,5.56,Completed
ADANIPORTS,2019-12-30,2020-11-05,10.37,365.95,368.65,737.8,0.87,Completed
ADANIPORTS,2024-12-23,Still Holding,0.6,1191.8,1112.2,-6678.98,,Holding
ADANIPOWER,2016-09-06,2017-02-03,5.0,27.1,36.65,35239.86,108.46,Completed
ADANIPOWER,2018-05-10,2018-11-05,5.97,24.4,50.3,106147.54,337.16,Completed
ADANIPOWER,2020-03-19,2020-12-03,8.63,27.0,54.15,100555.56,166.64,Completed
ADANIPOWER,2023-02-09,2023-08-29,6.7,172.8,332.7,92534.73,228.58,Completed
ADANIPOWER,2024-12-11,Still Holding,1.0,519.25,482.3,-7116.04,,Holding
ATGL,2020-03-20,2020-09-10,5.8,99.1,208.3,110191.73,375.06,Completed
ATGL,2023-03-06,2024-02-07,11.27,820.35,1040.05,26781.26,29.21,Completed
ATGL,2024-08-26,Still Holding,4.57,856.1,681.25,-20424.01,,Holding
AMBUJACEM,2015-11-10,2016-06-10,7.1,196.7,235.3,19623.8,35.94,Completed
AMBUJACEM,2018-03-19,2019-03-27,12.43,231.15,232.25,475.88,0.47,Completed
AMBUJACEM,2019-08-30,2020-09-15,12.73,202.35,217.45,7462.31,7.12,Completed
AMBUJACEM,2022-03-03,2022-08-22,5.73,290.2,408.0,40592.69,106.06,Completed
AMBUJACEM,2024-11-27,Still Holding,1.47,515.0,511.25,-728.16,,Holding
APOLLOHOSP,2016-06-28,2019-01-14,31.0,1319.15,1322.6,261.53,0.1,Completed
APOLLOHOSP,2022-05-11,2022-11-24,6.57,3679.65,4815.05,30856.19,64.59,Completed
ASIANPAINT,2018-02-20,2018-05-25,3.13,1126.4,1292.35,14732.77,70.52,Completed
ASIANPAINT,2020-06-15,2020-09-30,3.57,1618.2,1986.4,22753.68,101.24,Completed
ASIANPAINT,2022-05-26,2023-07-20,14.0,2840.15,3526.0,24148.38,20.68,Completed
ASIANPAINT,2024-02-29,2024-09-30,7.13,2821.9,3329.1,17973.71,32.57,Completed
ASIANPAINT,2024-12-30,Still Holding,0.37,2288.25,2320.75,1420.3,,Holding
DMART,2019-05-02,2019-10-07,5.27,1265.2,1847.3,46008.55,139.74,Completed
DMART,2022-05-09,2023-09-14,16.43,3520.3,3808.05,8174.02,5.99,Completed
DMART,2024-12-13,Still Holding,0.93,3652.3,3686.25,929.55,,Holding
AXISBANK,2015-11-05,2016-07-01,7.97,463.8,542.9,17054.77,27.19,Completed
AXISBANK,2017-01-20,2017-06-29,5.33,450.75,512.1,13610.64,33.79,Completed
AXISBANK,2018-06-27,2018-08-30,2.13,507.85,649.75,27941.32,307.66,Completed
AXISBANK,2020-03-17,2020-11-25,8.43,488.35,599.85,22831.98,34.54,Completed
AXISBANK,2022-05-13,2022-11-01,5.73,635.95,871.75,37078.38,95.28,Completed
AXISBANK,2025-01-08,Still Holding,0.07,1074.95,1040.7,-3186.19,,Holding
BAJAJ-AUTO,2016-03-16,2016-06-09,2.83,2250.0,2592.35,15215.56,83.71,Completed
BAJAJ-AUTO,2018-05-09,2019-03-27,10.73,2872.0,2980.1,3763.93,4.28,Completed
BAJAJ-AUTO,2020-05-07,2020-10-12,5.27,2406.55,3022.75,25605.12,69.32,Completed
BAJAJ-AUTO,2021-11-12,2022-06-06,6.87,3635.05,3817.0,5005.43,9.04,Completed
BAJAJ-AUTO,2022-12-28,2023-04-28,4.03,3586.85,4431.95,23561.07,89.31,Completed
BAJFINANCE,2020-05-06,2020-11-10,6.27,2106.25,4208.55,99812.45,283.4,Completed
BAJFINANCE,2022-05-10,2023-07-25,14.7,5928.45,7606.45,28304.19,22.91,Completed
BAJFINANCE,2024-03-04,2024-10-01,7.03,6602.45,7703.0,16668.81,30.56,Completed
BAJAJFINSV,2020-05-05,2020-11-25,6.8,462.92,871.78,88320.88,210.35,Completed
BAJAJFINSV,2022-05-02,2023-09-28,17.13,1495.74,1539.7,2938.67,2.08,Completed
BAJAJFINSV,2024-08-19,2024-09-20,1.07,1551.1,1916.8,23576.82,1018.55,Completed
BAJAJHLDNG,2018-05-14,2018-08-13,3.03,2614.4,2986.7,14240.36,70.57,Completed
BAJAJHLDNG,2020-03-17,2020-12-10,8.93,2657.1,3048.75,14739.75,20.59,Completed
BANKBARODA,2016-01-29,2016-08-09,6.43,125.4,158.45,26355.66,55.64,Completed
BANKBARODA,2017-09-27,2022-09-12,60.37,138.5,138.85,252.71,0.05,Completed
BANKBARODA,2024-10-15,Still Holding,2.9,243.81,225.4,-7550.96,,Holding
