Stock,Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
ADANIENT,2023-03-31,2024-01-01,9.2,1750.45,2917.2,66654.29,96.49,Completed
ADANIENT,2024-10-28,Still Holding,2.4,2798.65,2515.25,-10126.31,,Holding
ADANIPORTS,2024-12-23,Still Holding,0.53,1191.8,1152.3,-3314.31,,Holding
APOLLOHOSP,2022-05-11,2022-11-24,6.57,3679.65,4815.05,30856.19,64.59,Completed
ASIANPAINT,2022-05-26,2023-07-20,14.0,2840.15,3526.0,24148.38,20.68,Completed
ASIANPAINT,2024-02-29,2024-09-30,7.13,2821.9,3329.1,17973.71,32.57,Completed
ASIANPAINT,2024-12-30,Still Holding,0.3,2288.25,2334.35,2014.64,,Holding
AXISBANK,2022-05-13,2022-11-01,5.73,635.95,871.75,37078.38,95.28,Completed
AXISBANK,2025-01-08,Still Holding,0.0,1074.95,1074.95,0.0,,Holding
BAJAJ-AUTO,2021-11-12,2022-06-06,6.87,3635.05,3817.0,5005.43,9.04,Completed
BAJAJ-AUTO,2022-12-28,2023-04-28,4.03,3586.85,4431.95,23561.07,89.31,Completed
BAJFINANCE,2022-05-10,2023-07-25,14.7,5928.45,7606.45,28304.19,22.91,Completed
BAJFINANCE,2024-03-04,2024-10-01,7.03,6602.45,7703.0,16668.81,30.56,Completed
BAJAJFINSV,2020-10-30,2020-11-25,0.87,557.35,871.78,56414.29,53275.54,Completed
BAJAJFINSV,2022-05-02,2023-09-28,17.13,1495.74,1539.7,2938.67,2.08,Completed
BAJAJFINSV,2024-08-19,2024-09-20,1.07,1551.1,1916.8,23576.82,1018.55,Completed
BPCL,2021-11-29,2023-05-08,17.5,183.73,183.85,68.04,0.05,Completed
BHARTIARTL,2022-07-11,2022-10-18,3.3,660.55,783.15,18560.3,87.33,Completed
BRITANNIA,2021-02-17,2021-08-20,6.13,3364.0,3895.95,15813.02,33.81,Completed
BRITANNIA,2022-02-17,2022-08-29,6.43,3464.1,3707.65,7030.68,13.71,Completed
COALINDIA,2024-12-26,Still Holding,0.43,386.6,380.35,-1616.66,,Holding
DRREDDY,2021-11-24,2023-03-31,16.4,919.61,924.55,537.18,0.4,Completed
EICHERMOT,2022-03-25,2022-07-25,4.07,2336.85,3086.7,32088.06,129.93,Completed
EICHERMOT,2023-03-27,2023-11-03,7.37,2885.55,3428.0,18798.84,32.91,Completed
GRASIM,2022-05-31,2022-11-14,5.57,1422.94,1741.58,22392.54,55.52,Completed
HCLTECH,2022-05-13,2023-01-27,8.63,1052.15,1115.6,6030.5,8.6,Completed
HDFCBANK,2022-03-09,2022-11-10,8.2,1371.15,1524.75,11202.27,17.06,Completed
HDFCBANK,2023-09-26,2024-08-01,10.33,1537.65,1638.8,6578.22,7.79,Completed
HDFCLIFE,2022-02-04,2023-07-18,17.63,624.35,656.55,5157.37,3.53,Completed
HDFCLIFE,2024-02-28,2024-09-06,6.37,580.6,738.4,27178.79,58.32,Completed
HEROMOTOCO,2021-07-12,2022-08-17,13.37,2898.2,2913.45,526.19,0.48,Completed
HEROMOTOCO,2023-02-27,2023-07-25,4.93,2437.55,3140.3,28830.18,86.78,Completed
HEROMOTOCO,2025-01-08,Still Holding,0.0,4138.1,4138.1,0.0,,Holding
HINDUNILVR,2022-02-08,2022-08-16,6.3,2264.35,2644.5,16788.48,34.95,Completed
HINDUNILVR,2023-11-13,2024-08-23,9.47,2478.15,2815.6,13617.02,17.83,Completed
ICICIBANK,2022-06-10,2022-08-24,2.5,720.0,873.3,21291.66,155.85,Completed
ITC,2020-10-30,2020-12-23,1.8,165.25,207.75,25718.61,369.75,Completed
ITC,2024-02-29,2024-08-09,5.4,406.3,495.9,22052.67,56.67,Completed
INDUSINDBK,2022-03-14,2022-08-26,5.5,907.6,1069.75,17865.8,43.85,Completed
INDUSINDBK,2024-07-19,Still Holding,5.77,1432.45,981.05,-31512.44,,Holding
INFY,2022-05-26,2023-02-09,8.63,1423.95,1617.0,13557.36,19.62,Completed
INFY,2023-04-21,2023-12-06,7.63,1227.35,1474.3,20120.59,33.94,Completed
JSWSTEEL,2022-01-11,2022-11-22,10.5,645.7,708.25,9687.16,11.31,Completed
KOTAKBANK,2021-07-23,2021-10-28,3.23,1722.95,2098.5,21796.92,110.01,Completed
KOTAKBANK,2022-04-07,2022-11-11,7.27,1766.45,1899.1,7509.41,12.89,Completed
KOTAKBANK,2023-03-17,2024-10-01,18.8,1693.1,1879.4,11003.49,6.99,Completed
LT,2022-06-07,2022-11-01,4.9,1589.45,2024.45,27367.96,82.33,Completed
M&M,2021-09-15,2022-01-28,4.5,755.1,869.65,15170.18,46.5,Completed
MARUTI,2021-09-21,2021-11-08,1.6,6777.0,7684.6,13392.36,160.05,Completed
MARUTI,2023-03-24,2023-06-14,2.73,8242.9,9532.5,15644.97,90.98,Completed
MARUTI,2024-11-29,Still Holding,1.33,11074.2,11822.0,6752.63,,Holding
NESTLEIND,2022-03-25,2022-10-25,7.13,1716.12,2028.24,18187.54,32.98,Completed
NESTLEIND,2024-11-06,Still Holding,2.1,2275.6,2219.9,-2447.71,,Holding
ONGC,2020-10-30,2020-12-28,1.97,64.9,93.8,44530.05,876.27,Completed
ONGC,2022-07-26,2023-02-17,6.87,128.2,156.6,22152.89,42.55,Completed
ONGC,2024-12-31,Still Holding,0.27,239.25,271.33,13408.56,,Holding
POWERGRID,2022-12-22,2023-03-21,2.97,161.25,167.36,3790.7,16.48,Completed
